text,label
"Pay 2000 to get internship","scam"
"Click link to verify bank account","scam"
"You won lottery claim now","scam"
"Official university notice","safe"
"Bank statement available","safe"
"Exam schedule released","safe"
"Urgent: Pay fee immediately to secure your job","scam"
"Your account has been suspended. Click here to verify","scam"
"Congratulations! You've won 10 lakh rupees","scam"
"Meeting scheduled for tomorrow at 10 AM","safe"
"Project deadline extended by one week","safe"
"Your library books are due next Monday","safe"
"Send 5000 rupees for work from home opportunity","scam"
"Limited time offer! Act now or lose forever","scam"
"Verify your credit card details immediately","scam"
"Team lunch at 1 PM in the cafeteria","safe"
"Please review the attached document","safe"
"Reminder: Submit your assignment by Friday","safe"
"Transfer money now to claim your prize","scam"
"Your package is waiting. Pay customs fee","scam"
"Click here to avoid account closure","scam"
"Calendar invite: Monthly team meeting","safe"
"Your transcript is ready for download","safe"
"Course registration opens next week","safe"
"Pay registration fee to get certificate","scam"
"Urgent: Confirm your identity to avoid suspension","scam"
"You are selected! Pay to join our company","scam"
"Weather forecast for this week","safe"
"Your order has been shipped","safe"
"Password reset successful","safe"
"Send payment for guaranteed returns","scam"
"Investment opportunity with 100% guaranteed profit","scam"
"Wire transfer required for processing","scam"
"Library will be closed on Sunday","safe"
"New policy document available","safe"
"Your subscription will renew next month","safe"
"Pay now to unlock your bank account","scam"
"Your computer has virus. Call tech support","scam"
"Cash prize waiting. Send bank details","scam"
"Office hours: Monday to Friday 9-5","safe"
"Your appointment is confirmed","safe"
"Holiday schedule announced","safe"
"Give password to verify your account","scam"
"Romance opportunity. Send money for travel","scam"
"Claim your inheritance by paying processing fee","scam"
"Training session at 3 PM today","safe"
"Your certificate is ready","safe"
"Electricity bill payment reminder","safe"
"Urgent money transfer needed for emergency","scam"
"Government grant available. Pay registration","scam"
"Lottery winner must claim within 24 hours","scam"
"Team building event next Friday","safe"
"Your grade has been posted","safe"
"Feedback survey for recent purchase","safe"
"Pay fees immediately or lose admission","scam"
"Click link for free iPhone","scam"
"Send OTP to customer care for verification","scam"
"Staff meeting rescheduled to Thursday","safe"
"Your parking permit expires next month","safe"
"Maintenance scheduled for this weekend","safe"
"Job offer requires upfront payment","scam"
"Verify account or face legal action","scam"
"Congratulations on winning sweepstakes","scam"
"Conference room booking confirmed","safe"
"Your request has been approved","safe"
"Monthly newsletter attached","safe"
"Pay processing charges for loan approval","scam"
"Your package needs customs clearance fee","scam"
"Act now! Limited slots available","scam"
"Department meeting at 2 PM","safe"
"Your invoice is attached","safe"
"Security update completed successfully","safe"
"Transfer money to receive inheritance","scam"
"Nigerian prince needs help moving funds","scam"
"Confirm credit card to avoid cancellation","scam"
"Quarterly review scheduled next week","safe"
"System maintenance notification","safe"
"Your warranty expires soon","safe"
"Immediate payment needed for prize claim","scam"
"Your social security number compromised","scam"
"Pay fee to start online earning","scam"
"Welcome to the new semester","safe"
"Your package delivery scheduled","safe"
"Project update: Phase 1 complete","safe"
"Urgent: IRS requires immediate payment","scam"
"Your computer will be locked. Call now","scam"
"Send money to help family emergency","scam"
"Lunch menu for this week","safe"
"Your booking is confirmed","safe"
"Class schedule for next semester","safe"
"Pay to unlock your files from ransomware","scam"
"Investment scheme with no risk","scam"
"Send iTunes gift cards for tax payment","scam"
"Building evacuation drill tomorrow","safe"
"Your subscription has been renewed","safe"
"New course materials available","safe"
"Pay for express visa processing","scam"
"Your account needs verification immediately","scam"
"Exclusive offer just for you","scam"
"Team performance review cycle starting","safe"
"Your ticket has been confirmed","safe"
"Annual report published","safe"
"Send payment for guaranteed job placement","scam"
"Win luxury car by clicking link","scam"
"Your PayPal account limited. Verify now","scam"
"Office closure announcement","safe"
"Your reservation reminder","safe"
"Budget meeting scheduled","safe"
"Pay to remove negative reviews","scam"
"Your package held at customs. Pay now","scam"
"Act immediately or lose your account","scam"
"Company picnic next Saturday","safe"
"Your form has been submitted","safe"
"New policy effective next month","safe"
"Send money to unlock your prize","scam"
"Your computer infected. Download now","scam"
"Pay registration for work from home job","scam"
"Library book club meeting Thursday","safe"
"Your payment was successful","safe"
"Event reminder: Workshop tomorrow","safe"
"Transfer funds to claim lottery winnings","scam"
"Your Amazon account suspicious activity","scam"
"Confirm identity with credit card details","scam"
"Semester exam schedule announced","safe"
"Your membership renewal notice","safe"
"Staff appreciation event details","safe"
"Pay fee to receive government benefits","scam"
"Your Netflix account suspended. Update now","scam"
"Send bank info to receive refund","scam"
"Faculty meeting at 4 PM","safe"
"Your application is under review","safe"
"New employee orientation schedule","safe"
"Urgent payment needed for legal matter","scam"
"Your device has been hacked. Call support","scam"
"Pay now to avoid arrest warrant","scam"
"Campus tour schedule available","safe"
"Your complaint has been registered","safe"
"Training materials uploaded","safe"
"Send money to help disaster relief (fake charity)","scam"
"Your Microsoft account needs verification","scam"
"Pay to get your resume reviewed","scam"
"Department newsletter for November","safe"
"Your license renewal reminder","safe"
"Health insurance open enrollment","safe"
"Transfer money immediately or face consequences","scam"
"Your email will be deleted. Verify now","scam"
"Pay for background check to get job","scam"
"Lab session rescheduled","safe"
"Your order tracking number","safe"
"Policy changes effective immediately","safe"
"Send money for investment opportunity","scam"
"Your computer warranty expired. Renew now","scam"
"Click to claim your tax refund","scam"
"Guest speaker event tomorrow","safe"
"Your feedback is important to us","safe"
"New safety guidelines issued","safe"
"Pay for certification to start earning","scam"
"Your Google account compromised","scam"
"Send payment for processing your documents","scam"
"Study group meeting location changed","safe"
"Your statement is available online","safe"
"Upcoming holiday schedule","safe"
"Urgent: Court case filed. Pay fine now","scam"
"Your Instagram account will be deleted","scam"
"Pay to skip waiting list","scam"
"Workshop registration opens Monday","safe"
"Your contract renewal notice","safe"
"Performance bonus announcement","safe"
"Send money to unlock your device","scam"
"Your eBay account needs immediate attention","scam"
"Pay upfront for remote job opportunity","scam"
"Scholarship application deadline approaching","safe"
"Your prescription is ready for pickup","safe"
"Building maintenance completed","safe"
"Transfer funds to receive inheritance money","scam"
"Your Apple ID suspended. Verify now","scam"
"Pay to get verified on social media","scam"
"Career fair next Wednesday","safe"
"Your insurance claim approved","safe"
"New employee benefits program","safe"
"Send money for customs clearance urgently","scam"
"Your Facebook account hacked. Click here","scam"
"Pay fee to secure your loan instantly","scam"
"Committee meeting notes attached","safe"
"Your test results are ready","safe"
"Facility booking confirmation","safe"
"Pay now to avoid service disconnection","scam"
"Your WhatsApp will expire. Update now","scam"
